Gemeinde;Verwaltungskreis;Schule;Träger;Unterrichtssprache;Bildungsstufe;Schultyp;Anzahl_Schueler;Anzahl_Frauen;Anzahl_Ausl;Anzahl_Fremdspr
Biel/Bienne;Biel/Bienne;Ecole enfantine Crêt;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;15;7;13;12
Biel/Bienne;Biel/Bienne;Ecole enfantine de la Plaenke I et IV;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;40;21;10;29
Biel/Bienne;Biel/Bienne;Ecole enfantine E. Schüler;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;17;10;8;7
Biel/Bienne;Biel/Bienne;Ecole enfantine Geyisried 58;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;14;6;7;6
Biel/Bienne;Biel/Bienne;Ecole enfantine Geyisried 62;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;16;8;6;6
Biel/Bienne;Biel/Bienne;Ecole enfantine Marché-Neuf;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;18;12;11;12
Biel/Bienne;Biel/Bienne;Ecole enfantine Paix;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;17;9;11;8
Biel/Bienne;Biel/Bienne;Ecole enfantine Peupliers;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;21;13;8;10
Biel/Bienne;Biel/Bienne;Ecole enfantine Pianos;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;19;11;7;8
Biel/Bienne;Biel/Bienne;Ecole enfantine Poste;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;19;9;10;6
Biel/Bienne;Biel/Bienne;Ecole enfantine Prés-Ritter;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;20;10;12;10
Biel/Bienne;Biel/Bienne;Ecole enfantine Prés-Walker;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;14;7;3;1
Biel/Bienne;Biel/Bienne;Ecole enfantine Roseaux;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;16;8;9;7
Biel/Bienne;Biel/Bienne;Ecole enfantine Sahligut;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;17;5;8;13
Biel/Bienne;Biel/Bienne;Ecole enfantine Soleil;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;19;7;9;8
Biel/Bienne;Biel/Bienne;Ecole enfantine Suze;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;21;10;14;12
Biel/Bienne;Biel/Bienne;Ecole enfantine Tilleul I et II;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;38;19;12;7
Biel/Bienne;Biel/Bienne;Ecole primaire du Marché-Neuf;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;1;0;1;0
Brügg;Biel/Bienne;Kindergarten Bielstrasse;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;20;12;6;8
Brügg;Biel/Bienne;Kindergarten Obergasse;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;20;11;3;7
Brügg;Biel/Bienne;Kindergarten Pfeid I;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;12;7;12
Brügg;Biel/Bienne;Kindergarten Pfeid II;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;11;7;12
Evilard;Biel/Bienne;Kindergarten und Primarschule Leubringen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;24;15;1;3
Evilard;Biel/Bienne;Ecole enfantine et primaire d'Evilard;Öffentliche Schule;Französisch;Vorschulstufe;Vorschulstufe;17;8;1;0
Evilard;Biel/Bienne;Ecole enfantine bilingue Macolin;Öffentliche Schule;Bilingue d/f;Vorschulstufe;Vorschulstufe;9;4;0;0
Evilard;Biel/Bienne;Zweisprachiger Kindergarten Magglingen;Öffentliche Schule;Bilingue d/f;Vorschulstufe;Vorschulstufe;10;4;1;0
Ipsach;Biel/Bienne;Kindergarten Dorf Ipsach;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;6;3;2
Ipsach;Biel/Bienne;Kindergarten Kleinfeld;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;7;2;2
Ipsach;Biel/Bienne;Kindergarten Schule 1;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;43;18;2;5
Lengnau (BE);Biel/Bienne;Kindergarten Fabrikstrasse;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;20;10;8;9
Lengnau (BE);Biel/Bienne;Kindergarten Mühleweg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;17;7;7;8
Lengnau (BE);Biel/Bienne;Kindergarten Pavillon Lengnau;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;11;7;7
Lengnau (BE);Biel/Bienne;Schulhaus Kleinfeld;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;10;4;12
Meinisberg;Biel/Bienne;Kindergarten Meinisberg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;32;15;4;5
Mörigen;Biel/Bienne;Kindergarten und Primarschule Mörigen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;10;1;2
Nidau;Biel/Bienne;Kindergarten Aalmatten;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;11;8;14
Nidau;Biel/Bienne;Kindergarten Birkenweg Nidau;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;9;5;12
Nidau;Biel/Bienne;Kindergarten Strandweg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;21;14;1;8
Nidau;Biel/Bienne;Kindergarten Weidteile I & II;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;39;24;20;29
Nidau;Biel/Bienne;Freie Tagesschule Seeland;Nicht subventionierte Schule;Deutsch;Vorschulstufe;Vorschulstufe;1;1;0;1
Orpund;Biel/Bienne;Primarschule Orpund, Schulhaus II;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;40;18;6;9
Pieterlen;Biel/Bienne;Kindergarten Nord;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;69;36;15;31
Port;Biel/Bienne;Kindergarten Port;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;54;25;7;23
Safnern;Biel/Bienne;Schule Räbli;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;32;13;2;6
Schwadernau;Biel/Bienne;Schulhaus Schwadernau;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;24;11;0;0
Sutz-Lattrigen;Biel/Bienne;Kindergarten und Primarschule Sutz-Lattrigen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;21;11;0;0
Twann-Tüscherz;Biel/Bienne;Schule Ligerz;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;12;6;0;3
Twann-Tüscherz;Biel/Bienne;Schule Twann;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;9;6;1;2
Bätterkinden;Emmental;Schulhaus Dorfmatte Bätterkinden;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;17;4;5;4
Burgdorf;Emmental;Primarschule Lindenfeld;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;10;3;2;3
Burgdorf;Emmental;Primarschule Schlossmatt;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;9;3;3;4
Burgdorf;Emmental;Primarstufe Gotthelf;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;9;3;1;5
Kirchberg (BE);Emmental;Klassen für besondere Förderung und Spezialunterricht Kirchberg;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;33;15;18;17
Langnau im Emmental;Emmental;Schulhaus Oberfeld;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;12;1;1;2
Langnau im Emmental;Emmental;Schulhaus Höheweg;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;1;0;0;0
Lauperswil;Emmental;Klasse zur besonderen Förderung KbF Zollbrück;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;6;3;0;0
Rüegsau;Emmental;Kindergärten, Primarschulen & KbF Rüegsauschachen;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;7;1;2;3
Signau;Emmental;Schulhaus Dorf Signau;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;3;1;0;2
Sumiswald;Emmental;Primarstufe Sumiswald;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;5;3;1;2
Trubschachen;Emmental;Schulhaus Dorf Trubschachen;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;2;0;0;1
Utzenstorf;Emmental;Gotthelfschulhaus Utzenstorf;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;14;2;4;1
Bätterkinden;Emmental;Schulhaus Dorfmatte Bätterkinden;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;4;1;1;1
Burgdorf;Emmental;Oberstufe Pestalozzi Burgdorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;7;4;3;4
Kirchberg (BE);Emmental;Klassen für besondere Förderung und Spezialunterricht Kirchberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;5;3;3;3
Langnau im Emmental;Emmental;Schulhaus Höheweg;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;7;3;1;1
Lauperswil;Emmental;Klasse zur besonderen Förderung KbF Zollbrück;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;5;2;1;1
Rüegsau;Emmental;Kindergärten, Primarschulen & KbF Rüegsauschachen;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;12;6;0;0
Signau;Emmental;Schulhaus Dorf Signau;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;1;0;0;0
Trubschachen;Emmental;Schulhaus Dorf Trubschachen;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;5;1;0;0
Aefligen;Emmental;Kindergarten, Primar- und Realschule Aefligen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;9;7;0;1
Affoltern im Emmental;Emmental;Schule Affoltern i.E.;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;13;6;0;0
Bätterkinden;Emmental;Schulhaus Dorfmatte Bätterkinden;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;44;18;2;4
Burgdorf;Emmental;Oberstufe Gsteighof;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;71;36;8;25
Burgdorf;Emmental;Oberstufe Pestalozzi Burgdorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;94;40;19;50
Eggiwil;Emmental;Schulhaus Hindten;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;1;0;0;0
Eggiwil;Emmental;Schulhaus Kapf;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;4;1;0;0
Eggiwil;Emmental;Schulhaus Leber;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;5;2;0;0
Eggiwil;Emmental;Schulhaus Siehen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;4;3;0;0
Eggiwil;Emmental;Kindergarten, Primar- und Realschule Eggiwil Dorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;18;8;0;0
Ersigen;Emmental;Schule Ersigen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;20;8;0;0
Hasle bei Burgdorf;Emmental;Schule Schafhausen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;12;2;1;3
Hasle bei Burgdorf;Emmental;Schule Preisegg;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;18;7;0;2
Heimiswil;Emmental;Schulhaus Heimiswil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;18;6;0;1
Hindelbank;Emmental;Oberstufenzentrum Hindelbank;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;68;30;11;10
Kirchberg (BE);Emmental;Schule Kirchberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;55;24;20;28
Koppigen;Emmental;Oberstufe Koppigen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;67;32;6;9
Langnau im Emmental;Emmental;Schulhaus Bärau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;19;6;6;8
Langnau im Emmental;Emmental;Schulhaus Gohl;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;20;13;0;0
Langnau im Emmental;Emmental;Schulhaus Höheweg;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;70;26;6;15
Langnau im Emmental;Emmental;Schule EbenEzer Emmental (see-em);Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;4;0;0;0
Langnau im Emmental;Emmental;Schulhaus Ilfis;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;18;8;2;2
Langnau im Emmental;Emmental;Schulhaus Oberfrittenbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;13;3;0;0
Lauperswil;Emmental;Schulhaus Unterfrittenbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;16;10;1;0
Lauperswil;Emmental;Schulhaus Mungnau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;16;8;0;5
Lauperswil;Emmental;Volksschule Lauperswil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;16;7;0;0
Lützelflüh;Emmental;Sekundarstufe I Lützelflüh;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;1;0;0;0
Lützelflüh;Emmental;Schule Grünenmatt;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;10;6;0;0
Lützelflüh;Emmental;Schule Ranflüh;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;7;5;0;0
Lyssach;Emmental;Schule Lyssach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;12;6;0;0
Oberburg;Emmental;Schule Oberburg;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;35;12;7;11
Röthenbach im Emmental;Emmental;Schulhaus Dorf Röthenbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;41;19;0;0
Rüderswil;Emmental;Primar- und Realschule Niederbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;14;6;1;1
Rüderswil;Emmental;Primar- und Realschule Rüderswil Dorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;18;7;0;0
Rüderswil;Emmental;Primar- und Realschule Than;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;19;10;0;0
Rüdtligen-Alchenflüh;Emmental;Primar- und Realschule Alchenflüh;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;40;18;11;21
Rüegsau;Emmental;Sekundarstufe I Rüegsau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;57;25;4;4
Rüegsau;Emmental;Schulhaus Rüegsau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;1;1;1;1
Schangnau;Emmental;Schulhaus Dorf Schangnau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;13;7;1;1
Signau;Emmental;Schulhaus Dorf Signau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;19;9;0;2
Signau;Emmental;Schulhaus Höhe Signau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;5;3;0;0
Signau;Emmental;Schulhaus Mutten;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;7;1;0;0
Signau;Emmental;Schulhaus Häleschwand;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;8;2;0;0
Signau;Emmental;Schulhaus Schüpbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;8;6;1;1
Sumiswald;Emmental;Sek I Sumiswald;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;58;30;2;8
Sumiswald;Emmental;Sek I Wasen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;40;13;4;5
Trachselwald;Emmental;Schulhaus Chramershus;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;21;8;0;0
Trub;Emmental;Schulhaus Dorf Trub;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;21;11;0;1
Trub;Emmental;Schule Fankhaus;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;10;3;0;0
Trubschachen;Emmental;Schulhaus Dorf Trubschachen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;26;12;5;8
Utzenstorf;Emmental;Gotthelfschulhaus Utzenstorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;57;28;7;2
Wynigen;Emmental;Sekundarstufe 1 Wynigen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;54;18;1;2
Aefligen;Emmental;Kindergarten, Primar- und Realschule Aefligen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;60;33;5;10
Affoltern im Emmental;Emmental;Schule Affoltern i.E.;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;59;31;4;3
Alchenstorf;Emmental;Primarschule Alchenstorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;40;21;2;1
Bätterkinden;Emmental;Schulhaus Dorfmatte Bätterkinden;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;154;79;10;13
Burgdorf;Emmental;Primarschule Gsteighof;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;242;111;12;32
Burgdorf;Emmental;Primarschule Lindenfeld;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;114;45;18;19
Burgdorf;Emmental;Primarschule Neumatt Burgdorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;116;55;10;10
Burgdorf;Emmental;Primarschule Schlossmatt;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;213;108;32;54
Burgdorf;Emmental;Primarstufe Gotthelf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;61;27;11;28
Burgdorf;Emmental;Primarstufe Pestalozzi;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;67;29;16;34
Dürrenroth;Emmental;Primarschule Gassen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;43;20;0;0
Dürrenroth;Emmental;Kindergarten und Primarschule Dürrenroth;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;60;32;1;0
Eggiwil;Emmental;Schulhaus Neuenschwand;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;12;9;0;0
Eggiwil;Emmental;Schulhaus Horben;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;32;24;0;0
Eggiwil;Emmental;Schulhaus Hindten;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;9;5;0;0
Eggiwil;Emmental;Schulhaus Kapf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;10;7;0;0
Eggiwil;Emmental;Schulhaus Leber;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;14;4;0;0
Eggiwil;Emmental;Schulhaus Siehen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;10;5;0;0
Eggiwil;Emmental;Kindergarten, Primar- und Realschule Eggiwil Dorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;70;29;0;0
Eggiwil;Emmental;Stiftung Integration Emmental;Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;9;0;1;1
Ersigen;Emmental;Schule Ersigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;108;56;3;5
Hasle bei Burgdorf;Emmental;Schule Biembach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;10;1;1
Hasle bei Burgdorf;Emmental;Schule Goldbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;62;27;3;5
Hasle bei Burgdorf;Emmental;Schule Preisegg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;85;41;7;8
Heimiswil;Emmental;Schulhaus Kaltacker;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;42;25;0;0
Heimiswil;Emmental;Schulhaus Heimiswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;77;43;0;0
Hellsau;Emmental;Schulhaus Hellsau;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;13;8;1;1
Hindelbank;Emmental;Primarschule Hindelbank;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;120;52;12;9
Kernenried;Emmental;Schulhaus Kernenried;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;40;18;0;1
Kirchberg (BE);Emmental;Schulhaus Beundenweg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;95;40;15;23
Kirchberg (BE);Emmental;Schulhaus Bütikofen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;17;8;3;4
Kirchberg (BE);Emmental;Schule Kirchberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;184;81;29;43
Koppigen;Emmental;Primarschule Blaues Schulhaus Koppigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;98;50;5;6
Koppigen;Emmental;Primarschule Altes Schulhaus Koppigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;60;31;5;4
Krauchthal;Emmental;Primarschule Hettiswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;62;35;1;0
Krauchthal;Emmental;Primarschule Krauchthal;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;67;22;2;0
Langnau im Emmental;Emmental;Schulhaus Oberfeld;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;111;49;16;25
Langnau im Emmental;Emmental;Schulhaus Hinterdorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;83;45;1;12
Langnau im Emmental;Emmental;Schulhaus Kammershaus;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;45;24;0;0
Langnau im Emmental;Emmental;Schulhaus Bärau;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;38;14;5;10
Langnau im Emmental;Emmental;Schulhaus Gohl;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;19;12;0;0
Langnau im Emmental;Emmental;Schulhaus Höheweg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;106;52;9;20
Langnau im Emmental;Emmental;Rudolf Steiner-Schule Langnau;Subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;44;15;6;0
Langnau im Emmental;Emmental;Schule EbenEzer Emmental (see-em);Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;7;4;0;0
Langnau im Emmental;Emmental;Schulhaus Ilfis;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;64;33;8;12
Langnau im Emmental;Emmental;Schulhaus Oberfrittenbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;49;28;2;2
Lauperswil;Emmental;Schulhaus Ebnit;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;36;18;0;0
Lauperswil;Emmental;Schulhaus Emmenmatt;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;43;20;0;0
Lauperswil;Emmental;Schulhaus Mungnau;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;17;0;2
Lauperswil;Emmental;Volksschule Lauperswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;54;28;2;3
Lützelflüh;Emmental;Primarschule Dorf Lützelflüh;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;149;73;9;11
Lützelflüh;Emmental;Schule Egg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;20;10;0;0
Lützelflüh;Emmental;Schule Grünenmatt;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;57;26;0;2
Lützelflüh;Emmental;Schule Ranflüh;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;17;8;0;0
Lyssach;Emmental;Primarschule Kreuzweg Mötschwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;15;11;0;0
Lyssach;Emmental;Schule Lyssach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;72;41;3;4
Niederösch;Emmental;Schule Niederösch-Oberösch;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;31;16;0;0
Oberburg;Emmental;Schule Oberburg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;181;99;31;54
Röthenbach im Emmental;Emmental;Schulhaus Oberei;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;16;7;0;0
Röthenbach im Emmental;Emmental;Schulhaus Dorf Röthenbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;49;20;0;0
